barcode,first_type,second_type,celltype1,celltype2,x,y,prop1,prop2
embryo1_Pos0_cell10_z5,8,20,Lateral-plate-mesoderm,Intermediate-mesoderm,0.708436879,-2.707126306,1,0
embryo1_Pos0_cell100_z2,11,3,Erythroid,Low-quality,0.961726024,-2.943950815,1,0
embryo1_Pos0_cell102_z2,19,19,Gut-tube,Gut-tube,0.983053756,-3.284371749,1,0
embryo1_Pos0_cell102_z5,10,19,Endothelium,Gut-tube,0.993388387,-3.200490592,1,0
embryo1_Pos0_cell103_z5,8,13,Lateral-plate-mesoderm,Allantois,0.983855296,-2.634190352,1,0
embryo1_Pos0_cell105_z2,11,11,Erythroid,Erythroid,0.969061325,-2.829258952,1,0
embryo1_Pos0_cell105_z5,11,11,Erythroid,Erythroid,0.991782912,-2.966748661,1,0
embryo1_Pos0_cell106_z5,19,19,Gut-tube,Gut-tube,0.99566005,-3.284608479,1,0
embryo1_Pos0_cell107_z2,11,16,Erythroid,Haematoendothelial-progenitors,0.981132638,-2.795595943,1,0
embryo1_Pos0_cell108_z2,13,8,Allantois,Lateral-plate-mesoderm,0.969580774,-2.670442879,1,0
embryo1_Pos0_cell108_z5,11,11,Erythroid,Erythroid,1.004546671,-2.923275714,1,0
embryo1_Pos0_cell109_z5,11,11,Erythroid,Erythroid,1.009389976,-2.785366853,1,0
embryo1_Pos0_cell11_z2,8,8,Lateral-plate-mesoderm,Lateral-plate-mesoderm,0.710275509,-2.776251867,1,0
embryo1_Pos0_cell110_z2,19,10,Gut-tube,Endothelium,0.979306741,-3.178243491,1,0
embryo1_Pos0_cell111_z5,11,11,Erythroid,Erythroid,1.012736791,-2.851275029,1,0
embryo1_Pos0_cell112_z2,19,10,Gut-tube,Endothelium,0.997385473,-3.227258628,1,0
embryo1_Pos0_cell112_z5,11,11,Erythroid,Erythroid,1.022530425,-2.822405771,1,0
embryo1_Pos0_cell113_z5,19,19,Gut-tube,Gut-tube,1.015890051,-3.245992291,1,0
embryo1_Pos0_cell114_z2,11,11,Erythroid,Erythroid,0.996335703,-2.917587864,1,0
embryo1_Pos0_cell114_z5,3,19,Low-quality,Gut-tube,1.027715985,-3.159806862,1,0
embryo1_Pos0_cell119_z5,19,19,Gut-tube,Gut-tube,1.036349023,-3.294073646,1,0
embryo1_Pos0_cell12_z2,8,20,Lateral-plate-mesoderm,Intermediate-mesoderm,0.708627953,-2.712125136,1,0
embryo1_Pos0_cell120_z5,11,11,Erythroid,Erythroid,1.031694091,-2.888234558,1,0
embryo1_Pos0_cell121_z2,11,11,Erythroid,Erythroid,1.006785556,-2.854580318,1,0
embryo1_Pos0_cell123_z2,19,19,Gut-tube,Gut-tube,1.015203396,-3.261043909,1,0
embryo1_Pos0_cell125_z5,10,19,Endothelium,Gut-tube,1.053896674,-3.110513456,1,0
embryo1_Pos0_cell126_z5,19,19,Gut-tube,Gut-tube,1.049996176,-3.265070497,1,0
embryo1_Pos0_cell127_z5,19,16,Gut-tube,Haematoendothelial-progenitors,1.057202905,-3.192608338,1,0
embryo1_Pos0_cell128_z5,11,3,Erythroid,Low-quality,1.077920306,-2.902347565,1,0
embryo1_Pos0_cell129_z2,11,11,Erythroid,Erythroid,1.027505505,-2.888580786,1,0
embryo1_Pos0_cell129_z5,11,11,Erythroid,Erythroid,1.049583729,-2.787052969,1,0
embryo1_Pos0_cell13_z5,10,16,Endothelium,Haematoendothelial-progenitors,0.721289193,-2.580539002,1,0
embryo1_Pos0_cell130_z2,11,11,Erythroid,Erythroid,1.032692703,-2.928610143,1,0
embryo1_Pos0_cell130_z5,11,11,Erythroid,Erythroid,1.060726766,-2.833200949,1,0
embryo1_Pos0_cell131_z2,11,11,Erythroid,Erythroid,1.036597783,-2.829954594,1,0
embryo1_Pos0_cell131_z5,11,3,Erythroid,Low-quality,1.051847014,-2.950901796,1,0
embryo1_Pos0_cell133_z2,11,11,Erythroid,Erythroid,1.046888144,-2.787550438,1,0
embryo1_Pos0_cell133_z5,19,19,Gut-tube,Gut-tube,1.07635934,-3.254054428,1,0
embryo1_Pos0_cell134_z5,19,3,Gut-tube,Low-quality,1.063589895,-3.142637949,1,0
embryo1_Pos0_cell135_z2,19,19,Gut-tube,Gut-tube,1.043625042,-3.270757467,1,0
embryo1_Pos0_cell135_z5,19,3,Gut-tube,Low-quality,1.078458992,-3.225408532,1,0
embryo1_Pos0_cell136_z5,13,21,Allantois,Mixed-mesenchymal-mesoderm,1.091184701,-2.588229131,1,0
embryo1_Pos0_cell137_z2,19,19,Gut-tube,Gut-tube,1.057403758,-3.31014422,1,0
embryo1_Pos0_cell137_z5,11,11,Erythroid,Erythroid,1.079609793,-2.772821349,1,0
embryo1_Pos0_cell138_z5,19,19,Gut-tube,Gut-tube,1.073970709,-3.288363167,1,0
embryo1_Pos0_cell139_z5,11,11,Erythroid,Erythroid,1.086757969,-2.860868427,1,0
embryo1_Pos0_cell140_z2,11,11,Erythroid,Erythroid,1.054111392,-2.868097437,1,0
embryo1_Pos0_cell140_z5,19,19,Gut-tube,Gut-tube,1.084167311,-3.3185301,1,0
embryo1_Pos0_cell141_z5,19,19,Gut-tube,Gut-tube,1.092693722,-3.145881471,1,0
embryo1_Pos0_cell142_z2,19,3,Gut-tube,Low-quality,1.04909517,-3.171733665,1,0
embryo1_Pos0_cell144_z5,11,10,Erythroid,Endothelium,1.097106157,-2.735118693,1,0
embryo1_Pos0_cell145_z2,19,3,Gut-tube,Low-quality,1.067841001,-3.243698182,1,0
embryo1_Pos0_cell146_z5,19,19,Gut-tube,Gut-tube,1.097635129,-3.200791034,1,0
embryo1_Pos0_cell147_z5,11,11,Erythroid,Erythroid,1.101432872,-2.821459865,1,0
embryo1_Pos0_cell149_z2,11,3,Erythroid,Low-quality,1.062130366,-2.905606011,1,0
embryo1_Pos0_cell149_z5,19,19,Gut-tube,Gut-tube,1.11148988,-3.307544386,1,0
embryo1_Pos0_cell15_z5,20,8,Intermediate-mesoderm,Lateral-plate-mesoderm,0.723827177,-2.716045987,1,0
embryo1_Pos0_cell151_z2,11,11,Erythroid,Erythroid,1.078294531,-2.81832111,1,0
embryo1_Pos0_cell151_z5,11,11,Erythroid,Erythroid,1.10705094,-2.784146355,1,0
embryo1_Pos0_cell152_z5,19,19,Gut-tube,Gut-tube,1.109298075,-3.279094361,1,0
embryo1_Pos0_cell153_z5,19,19,Gut-tube,Gut-tube,1.121755274,-3.245794732,1,0
embryo1_Pos0_cell154_z2,19,19,Gut-tube,Gut-tube,1.09154507,-3.335242586,1,0
embryo1_Pos0_cell154_z5,19,19,Gut-tube,Gut-tube,1.111687142,-3.178820915,1,0
embryo1_Pos0_cell155_z2,19,19,Gut-tube,Gut-tube,1.083743448,-3.16213575,1,0
embryo1_Pos0_cell156_z2,13,21,Allantois,Mixed-mesenchymal-mesoderm,1.088740301,-2.561568086,1,0
embryo1_Pos0_cell157_z2,19,19,Gut-tube,Gut-tube,1.079865789,-3.185582649,1,0
embryo1_Pos0_cell158_z2,3,11,Low-quality,Erythroid,1.091487096,-2.930256101,1,0
embryo1_Pos0_cell158_z5,19,10,Gut-tube,Endothelium,1.135564618,-3.130052186,1,0
embryo1_Pos0_cell159_z2,19,19,Gut-tube,Gut-tube,1.08895974,-3.278847637,1,0
embryo1_Pos0_cell16_z2,8,20,Lateral-plate-mesoderm,Intermediate-mesoderm,0.733329714,-2.697821601,1,0
embryo1_Pos0_cell160_z2,11,11,Erythroid,Erythroid,1.086807776,-2.856463418,1,0
embryo1_Pos0_cell160_z5,11,11,Erythroid,Erythroid,1.137973416,-2.874852377,1,0
