barcode,zscore
embryo1_Pos0_cell102_z2,1.233903491
embryo1_Pos0_cell106_z5,-0.544328652
embryo1_Pos0_cell113_z5,-0.544328652
embryo1_Pos0_cell119_z5,-0.544328652
embryo1_Pos0_cell123_z2,-0.544328652
embryo1_Pos0_cell126_z5,-0.544328652
embryo1_Pos0_cell133_z5,1.668081062
embryo1_Pos0_cell135_z2,1.605380443
embryo1_Pos0_cell137_z2,-0.544328652
embryo1_Pos0_cell138_z5,-0.544328652
embryo1_Pos0_cell140_z5,-0.544328652
embryo1_Pos0_cell141_z5,-0.544328652
embryo1_Pos0_cell146_z5,-0.544328652
embryo1_Pos0_cell149_z5,-0.544328652
embryo1_Pos0_cell152_z5,-0.544328652
embryo1_Pos0_cell153_z5,-0.544328652
embryo1_Pos0_cell154_z2,-0.544328652
embryo1_Pos0_cell154_z5,-0.544328652
embryo1_Pos0_cell155_z2,1.43937702
embryo1_Pos0_cell157_z2,-0.544328652
embryo1_Pos0_cell159_z2,-0.544328652
embryo1_Pos0_cell161_z2,-0.544328652
embryo1_Pos0_cell164_z2,-0.544328652
embryo1_Pos0_cell166_z5,1.052299396
embryo1_Pos0_cell169_z5,-0.544328652
embryo1_Pos0_cell170_z2,-0.544328652
embryo1_Pos0_cell170_z5,-0.544328652
embryo1_Pos0_cell171_z2,-0.544328652
embryo1_Pos0_cell171_z5,-0.544328652
embryo1_Pos0_cell172_z2,-0.544328652
embryo1_Pos0_cell177_z5,-0.544328652
embryo1_Pos0_cell180_z2,-0.544328652
embryo1_Pos0_cell181_z5,-0.544328652
embryo1_Pos0_cell183_z5,-0.544328652
embryo1_Pos0_cell187_z2,-0.544328652
embryo1_Pos0_cell192_z5,-0.544328652
embryo1_Pos0_cell196_z2,-0.544328652
embryo1_Pos0_cell199_z2,-0.544328652
embryo1_Pos0_cell201_z2,-0.544328652
embryo1_Pos0_cell204_z2,-0.544328652
embryo1_Pos0_cell213_z2,-0.544328652
embryo1_Pos0_cell228_z2,-0.544328652
embryo1_Pos0_cell245_z5,-0.544328652
embryo1_Pos0_cell258_z5,1.199506543
embryo1_Pos0_cell265_z5,-0.544328652
embryo1_Pos0_cell273_z5,-0.544328652
embryo1_Pos0_cell278_z5,-0.544328652
embryo1_Pos0_cell299_z2,-0.544328652
embryo1_Pos0_cell305_z2,-0.544328652
embryo1_Pos0_cell322_z2,-0.544328652
embryo1_Pos0_cell328_z2,-0.544328652
embryo1_Pos0_cell342_z2,-0.544328652
embryo1_Pos0_cell345_z2,-0.544328652
embryo1_Pos0_cell358_z2,1.621697448
embryo1_Pos0_cell72_z5,-0.544328652
embryo1_Pos0_cell77_z2,-0.544328652
embryo1_Pos0_cell83_z5,-0.544328652
embryo1_Pos0_cell90_z2,-0.544328652
embryo1_Pos0_cell91_z5,-0.544328652
embryo1_Pos0_cell98_z5,-0.544328652
embryo1_Pos0_cell99_z5,-0.544328652
embryo1_Pos3_cell370_z5,-0.544328652
embryo1_Pos3_cell377_z5,-0.544328652
embryo1_Pos3_cell384_z5,-0.544328652
embryo1_Pos3_cell385_z5,-0.544328652
embryo1_Pos3_cell393_z5,-0.544328652
embryo1_Pos3_cell396_z5,-0.544328652
embryo1_Pos3_cell400_z2,-0.544328652
embryo1_Pos3_cell402_z2,-0.544328652
