barcode,zscore
embryo1_Pos4_cell100_z2,2.656026119
embryo1_Pos4_cell118_z2,2.62111458
embryo1_Pos4_cell27_z5,2.707282002
embryo1_Pos4_cell39_z5,2.746753059
embryo1_Pos10_cell101_z5,2.482596699
embryo1_Pos10_cell102_z2,2.669290977
embryo1_Pos10_cell142_z2,2.691637316
embryo1_Pos10_cell15_z2,1.510149266
embryo1_Pos10_cell16_z5,2.071660607
embryo1_Pos10_cell21_z2,2.382858178
embryo1_Pos10_cell22_z5,1.388943472
embryo1_Pos10_cell29_z2,2.269769727
embryo1_Pos10_cell29_z5,2.265785238
embryo1_Pos10_cell3_z2,1.341239305
embryo1_Pos10_cell3_z5,1.268631867
embryo1_Pos10_cell36_z2,2.609353789
embryo1_Pos10_cell4_z2,1.391228764
embryo1_Pos10_cell4_z5,-0.544328652
embryo1_Pos10_cell46_z2,2.400379117
embryo1_Pos10_cell49_z5,2.361200681
embryo1_Pos10_cell5_z2,-0.544328652
embryo1_Pos10_cell56_z2,2.582276635
embryo1_Pos10_cell6_z2,1.393525072
embryo1_Pos10_cell63_z5,2.38532363
embryo1_Pos10_cell64_z2,2.661124413
embryo1_Pos10_cell7_z2,-0.544328652
embryo1_Pos10_cell8_z2,1.681787506
embryo1_Pos10_cell84_z2,2.332418722
embryo1_Pos10_cell87_z5,2.574744285
embryo1_Pos10_cell88_z5,2.591468576
embryo1_Pos22_cell118_z5,-0.544328652
embryo1_Pos22_cell311_z2,-0.544328652
embryo1_Pos22_cell318_z2,-0.544328652
