barcode,zscore
embryo1_Pos1_cell188_z2,-0.544328652
embryo1_Pos1_cell196_z2,-0.544328652
embryo1_Pos1_cell204_z2,-0.544328652
embryo1_Pos1_cell243_z5,-0.544328652
embryo1_Pos1_cell245_z5,-0.544328652
embryo1_Pos2_cell117_z2,-0.544328652
embryo1_Pos3_cell255_z5,-0.544328652
embryo1_Pos4_cell109_z5,-0.544328652
embryo1_Pos4_cell36_z5,-0.544328652
embryo1_Pos4_cell379_z2,-0.544328652
embryo1_Pos4_cell6_z2,-0.544328652
embryo1_Pos5_cell254_z2,-0.544328652
embryo1_Pos5_cell314_z2,-0.544328652
embryo1_Pos5_cell335_z5,-0.544328652
embryo1_Pos5_cell367_z2,-0.544328652
embryo1_Pos5_cell388_z2,-0.544328652
embryo1_Pos5_cell392_z2,1.498564077
embryo1_Pos5_cell393_z5,-0.544328652
embryo1_Pos5_cell401_z2,-0.544328652
embryo1_Pos5_cell401_z5,-0.544328652
embryo1_Pos5_cell403_z2,-0.544328652
embryo1_Pos5_cell404_z5,1.15708048
embryo1_Pos5_cell406_z2,-0.544328652
embryo1_Pos5_cell407_z2,-0.544328652
embryo1_Pos5_cell410_z5,-0.544328652
embryo1_Pos5_cell411_z5,-0.544328652
embryo1_Pos5_cell412_z5,-0.544328652
embryo1_Pos5_cell414_z2,-0.544328652
embryo1_Pos5_cell415_z2,-0.544328652
embryo1_Pos5_cell417_z2,-0.544328652
embryo1_Pos5_cell417_z5,-0.544328652
embryo1_Pos5_cell419_z5,-0.544328652
embryo1_Pos5_cell420_z5,-0.544328652
embryo1_Pos5_cell421_z5,-0.544328652
embryo1_Pos5_cell424_z2,-0.544328652
embryo1_Pos5_cell425_z2,-0.544328652
embryo1_Pos5_cell425_z5,-0.544328652
embryo1_Pos5_cell426_z5,-0.544328652
embryo1_Pos5_cell427_z2,-0.544328652
embryo1_Pos5_cell427_z5,-0.544328652
embryo1_Pos5_cell429_z5,-0.544328652
embryo1_Pos5_cell430_z5,-0.544328652
embryo1_Pos5_cell433_z2,-0.544328652
embryo1_Pos5_cell433_z5,-0.544328652
embryo1_Pos5_cell435_z5,-0.544328652
embryo1_Pos5_cell436_z2,-0.544328652
embryo1_Pos5_cell438_z5,-0.544328652
embryo1_Pos5_cell439_z5,-0.544328652
embryo1_Pos5_cell441_z5,-0.544328652
embryo1_Pos5_cell442_z2,-0.544328652
embryo1_Pos5_cell444_z5,-0.544328652
embryo1_Pos5_cell445_z2,-0.544328652
embryo1_Pos5_cell447_z5,1.786802276
embryo1_Pos5_cell454_z2,-0.544328652
embryo1_Pos5_cell455_z2,-0.544328652
embryo1_Pos5_cell459_z2,-0.544328652
embryo1_Pos5_cell466_z2,1.098031021
embryo1_Pos5_cell468_z2,-0.544328652
embryo1_Pos5_cell471_z2,-0.544328652
embryo1_Pos5_cell474_z2,-0.544328652
embryo1_Pos5_cell475_z2,1.714850131
embryo1_Pos5_cell477_z2,-0.544328652
embryo1_Pos5_cell482_z2,1.499997142
embryo1_Pos5_cell483_z2,-0.544328652
embryo1_Pos5_cell484_z2,-0.544328652
embryo1_Pos5_cell486_z2,-0.544328652
embryo1_Pos5_cell493_z2,-0.544328652
embryo1_Pos5_cell495_z2,-0.544328652
embryo1_Pos5_cell501_z2,1.148762097
embryo1_Pos5_cell502_z2,-0.544328652
embryo1_Pos5_cell503_z2,-0.544328652
embryo1_Pos5_cell507_z2,-0.544328652
embryo1_Pos6_cell13_z2,-0.544328652
embryo1_Pos6_cell14_z2,1.710408884
embryo1_Pos6_cell8_z5,-0.544328652
embryo1_Pos8_cell10_z5,-0.544328652
embryo1_Pos8_cell11_z2,-0.544328652
embryo1_Pos8_cell12_z5,1.199506543
embryo1_Pos8_cell13_z2,-0.544328652
embryo1_Pos8_cell13_z5,-0.544328652
embryo1_Pos8_cell14_z2,-0.544328652
embryo1_Pos8_cell14_z5,1.384405035
embryo1_Pos8_cell15_z5,-0.544328652
embryo1_Pos8_cell16_z2,-0.544328652
embryo1_Pos8_cell16_z5,-0.544328652
embryo1_Pos8_cell17_z2,-0.544328652
embryo1_Pos8_cell17_z5,-0.544328652
embryo1_Pos8_cell25_z5,-0.544328652
embryo1_Pos8_cell26_z2,-0.544328652
embryo1_Pos8_cell27_z5,-0.544328652
embryo1_Pos8_cell28_z2,1.311243748
embryo1_Pos8_cell28_z5,-0.544328652
embryo1_Pos8_cell29_z2,1.462720245
embryo1_Pos8_cell32_z2,-0.544328652
embryo1_Pos8_cell33_z5,-0.544328652
embryo1_Pos8_cell34_z5,-0.544328652
embryo1_Pos8_cell35_z2,-0.544328652
embryo1_Pos8_cell36_z5,-0.544328652
embryo1_Pos8_cell37_z5,-0.544328652
embryo1_Pos8_cell38_z2,-0.544328652
embryo1_Pos8_cell38_z5,-0.544328652
embryo1_Pos8_cell40_z5,-0.544328652
embryo1_Pos8_cell41_z5,-0.544328652
embryo1_Pos8_cell42_z2,1.190408838
embryo1_Pos8_cell43_z5,1.181483832
embryo1_Pos8_cell46_z5,-0.544328652
embryo1_Pos8_cell47_z2,1.454813055
embryo1_Pos8_cell47_z5,-0.544328652
embryo1_Pos8_cell48_z2,-0.544328652
embryo1_Pos8_cell48_z5,-0.544328652
embryo1_Pos8_cell49_z2,2.054701678
embryo1_Pos8_cell49_z5,-0.544328652
embryo1_Pos8_cell50_z2,-0.544328652
embryo1_Pos8_cell50_z5,-0.544328652
embryo1_Pos8_cell51_z2,-0.544328652
embryo1_Pos8_cell51_z5,-0.544328652
embryo1_Pos8_cell52_z2,-0.544328652
embryo1_Pos8_cell52_z5,-0.544328652
embryo1_Pos8_cell53_z2,-0.544328652
embryo1_Pos8_cell53_z5,-0.544328652
embryo1_Pos8_cell54_z2,-0.544328652
embryo1_Pos8_cell56_z5,-0.544328652
embryo1_Pos8_cell58_z5,-0.544328652
embryo1_Pos8_cell59_z5,-0.544328652
embryo1_Pos8_cell61_z2,1.457434331
embryo1_Pos8_cell62_z2,-0.544328652
embryo1_Pos8_cell63_z2,-0.544328652
embryo1_Pos8_cell64_z2,-0.544328652
embryo1_Pos8_cell65_z2,1.358041709
embryo1_Pos8_cell65_z5,1.174173702
embryo1_Pos8_cell66_z2,1.805225515
embryo1_Pos8_cell68_z5,-0.544328652
embryo1_Pos8_cell69_z5,-0.544328652
embryo1_Pos8_cell71_z2,-0.544328652
embryo1_Pos8_cell72_z5,-0.544328652
embryo1_Pos8_cell74_z5,-0.544328652
embryo1_Pos8_cell75_z2,1.208783507
embryo1_Pos8_cell75_z5,-0.544328652
embryo1_Pos8_cell76_z2,-0.544328652
embryo1_Pos8_cell76_z5,-0.544328652
embryo1_Pos8_cell80_z2,-0.544328652
embryo1_Pos8_cell81_z2,-0.544328652
embryo1_Pos8_cell85_z2,-0.544328652
embryo1_Pos8_cell86_z2,1.193421879
embryo1_Pos9_cell103_z5,1.495710267
embryo1_Pos9_cell108_z5,-0.544328652
embryo1_Pos9_cell112_z5,1.769045699
embryo1_Pos9_cell116_z5,2.091609843
embryo1_Pos9_cell118_z2,-0.544328652
embryo1_Pos9_cell120_z5,-0.544328652
embryo1_Pos9_cell121_z5,1.151518468
embryo1_Pos9_cell141_z5,-0.544328652
embryo1_Pos9_cell144_z2,1.175626595
embryo1_Pos9_cell145_z2,-0.544328652
embryo1_Pos9_cell152_z5,-0.544328652
embryo1_Pos9_cell153_z5,1.556240409
embryo1_Pos9_cell159_z5,1.664042945
